-0.12,0.23,-0.41,-0.04,-0.09,0.01,0.02,0.15,0.19,0.01,0.02,0.00
-0.41,0.57,-0.79,-0.12,-0.43,-0.19,0.04,0.11,0.03,0.01,0.08,0.08
-0.71,0.52,-0.60,0.04,-0.56,-0.47,0.05,0.04,0.04,0.05,0.03,0.07
-0.90,0.34,-0.47,0.10,-0.16,-0.24,0.02,0.02,0.01,0.03,0.10,0.13
-0.88,0.37,-0.57,-0.06,0.08,-0.03,0.02,0.01,0.02,0.01,0.01,0.02
-0.83,0.36,-0.58,-0.13,0.01,-0.10,0.04,0.01,0.02,0.01,0.00,0.00
-0.97,0.26,-0.46,-0.18,-0.05,-0.06,0.08,0.01,0.02,0.01,0.00,0.01
-1.07,0.18,-0.38,-0.13,-0.01,-0.11,0.06,0.01,0.01,0.02,0.01,0.01
-0.99,0.16,-0.41,-0.15,0.04,-0.15,0.04,0.01,0.02,0.04,0.01,0.01
-0.92,0.33,-0.46,-0.24,-0.00,-0.02,0.03,0.03,0.02,0.04,0.02,0.02
-1.00,0.36,-0.45,-0.06,-0.05,0.09,0.05,0.02,0.01,0.05,0.00,0.01
-1.11,0.14,-0.38,0.07,0.08,0.10,0.04,0.02,0.01,0.01,0.06,0.01
-0.93,-0.29,-0.40,0.36,0.59,0.85,0.84,0.61,0.55,3.11,1.03,4.01
-0.41,-0.15,-0.61,0.10,0.14,0.34,0.92,0.74,0.59,3.51,1.56,5.04
-0.53,0.35,-0.66,-0.33,-0.67,-0.65,0.26,0.05,0.03,0.29,0.04,0.11
-1.05,0.27,-0.45,-0.09,-0.35,-0.35,0.04,0.03,0.02,0.12,0.11,0.02
-1.06,0.16,-0.41,-0.01,-0.05,-0.18,0.03,0.00,0.01,0.01,0.01,0.02
-1.00,0.19,-0.47,0.02,-0.01,-0.03,0.02,0.00,0.01,0.00,0.00,0.00
-1.01,0.19,-0.47,0.01,0.01,-0.00,0.02,0.00,0.00,0.00,0.00,0.00
-1.01,0.19,-0.47,-0.03,0.02,-0.01,0.02,0.00,0.00,0.00,0.00,0.00
-0.98,0.19,-0.47,-0.04,0.02,0.01,0.04,0.00,0.01,0.00,0.00,0.00
-0.99,0.19,-0.47,-0.01,-0.01,0.03,0.04,0.00,0.01,0.00,0.00,0.00
-1.01,0.20,-0.47,-0.01,-0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00
-1.01,0.21,-0.47,-0.01,-0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00
-1.01,0.22,-0.47,-0.00,-0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00
-0.98,0.22,-0.46,-0.00,-0.01,0.02,0.04,0.00,0.01,0.00,0.00,0.00
-0.98,0.22,-0.46,0.01,-0.01,0.03,0.04,0.00,0.01,0.00,0.00,0.00
