-0.26,0.23,-0.33,-0.23,0.06,-0.13,0.09,0.23,0.13,0.07,0.01,0.02
-0.59,0.55,-0.59,-0.56,0.21,-0.49,0.03,0.18,0.04,0.03,0.01,0.07
-0.77,0.69,-0.43,-0.54,0.23,-0.74,0.04,0.03,0.02,0.02,0.02,0.04
-0.90,0.64,-0.42,-0.23,0.15,-0.70,0.03,0.06,0.02,0.08,0.02,0.03
-0.87,0.33,-0.40,0.12,0.11,-0.46,0.03,0.07,0.02,0.06,0.02,0.05
-0.90,0.17,-0.45,0.07,0.08,-0.14,0.05,0.01,0.03,0.06,0.01,0.05
-0.89,0.29,-0.59,-0.09,0.11,0.12,0.05,0.02,0.02,0.02,0.01,0.02
-0.79,0.44,-0.64,-0.07,0.14,0.16,0.02,0.01,0.02,0.00,0.00,0.01
-0.81,0.42,-0.62,-0.08,0.08,-0.01,0.03,0.02,0.02,0.01,0.00,0.01
-0.92,0.34,-0.56,-0.08,0.00,-0.04,0.04,0.01,0.02,0.02,0.00,0.01
-0.95,0.31,-0.54,0.05,-0.06,0.03,0.04,0.01,0.02,0.03,0.00,0.00
-0.95,0.32,-0.58,0.19,-0.05,0.05,0.04,0.01,0.02,0.00,0.00,0.00
-0.87,0.36,-0.65,0.15,0.04,-0.05,0.04,0.01,0.02,0.00,0.00,0.01
-0.85,0.30,-0.63,-0.00,0.05,-0.15,0.04,0.01,0.02,0.02,0.01,0.00
-0.86,0.24,-0.61,-0.14,-0.01,-0.13,0.04,0.01,0.01,0.01,0.01,0.01
-0.91,0.23,-0.61,-0.14,-0.02,-0.10,0.05,0.00,0.01,0.01,0.00,0.01
-0.95,0.23,-0.61,-0.05,0.02,-0.03,0.04,0.00,0.01,0.01,0.00,0.00
-0.89,0.21,-0.61,-0.00,0.03,0.02,0.03,0.00,0.01,0.00,0.00,0.00
-0.91,0.23,-0.62,-0.03,0.01,0.05,0.03,0.00,0.01,0.00,0.00,0.00
-0.92,0.27,-0.60,-0.05,0.01,0.03,0.03,0.00,0.01,0.00,0.00,0.00
-0.90,0.27,-0.59,-0.04,0.02,0.03,0.03,0.00,0.01,0.00,0.00,0.00
-0.68,0.19,-0.68,-0.14,0.17,0.44,0.12,0.01,0.04,0.03,0.03,0.41
-0.48,0.01,-0.50,-1.10,-0.56,1.64,0.78,0.88,1.22,1.83,1.93,2.52
-0.73,-0.40,0.30,-0.65,0.84,1.18,1.28,1.54,2.21,3.70,13.63,3.37
-0.63,0.10,0.28,0.43,1.34,0.03,0.65,1.38,1.24,1.03,10.45,0.21
-0.30,0.88,-0.28,0.27,-0.30,-0.19,0.03,0.17,0.13,0.09,0.03,0.16
-0.43,0.80,-0.33,0.39,-0.19,-0.53,0.03,0.04,0.01,0.03,0.00,0.01
-0.63,0.64,-0.46,0.50,-0.22,-0.58,0.02,0.03,0.02,0.03,0.00,0.01
-0.80,0.42,-0.62,0.43,-0.17,-0.43,0.03,0.02,0.02,0.03,0.01,0.05
-0.89,0.27,-0.66,0.22,-0.12,-0.15,0.03,0.01,0.02,0.02,0.00,0.02
-0.90,0.27,-0.60,0.12,-0.13,-0.05,0.03,0.00,0.01,0.00,0.00,0.00
-0.94,0.26,-0.57,0.10,-0.07,-0.04,0.03,0.00,0.01,0.00,0.00,0.00
-0.95,0.24,-0.57,0.06,-0.03,-0.03,0.03,0.00,0.01,0.00,0.00,0.00
-0.93,0.25,-0.56,-0.01,-0.01,0.00,0.03,0.00,0.01,0.00,0.00,0.00
-0.93,0.27,-0.55,-0.06,0.02,0.00,0.03,0.00,0.01,0.00,0.00,0.00
-0.91,0.30,-0.59,-0.02,0.02,0.00,0.03,0.00,0.01,0.00,0.00,0.00
-0.90,0.29,-0.59,0.04,-0.01,0.02,0.03,0.00,0.01,0.00,0.00,0.00
-0.88,0.32,-0.60,0.09,-0.00,0.07,0.03,0.01,0.01,0.00,0.00,0.00
-0.85,0.34,-0.60,0.21,-0.04,0.26,0.03,0.01,0.01,0.01,0.00,0.04
-0.87,0.33,-0.58,0.21,-0.09,0.46,0.03,0.01,0.01,0.01,0.00,0.02
-0.90,0.36,-0.56,0.06,-0.12,0.30,0.03,0.01,0.01,0.01,0.00,0.05
-0.91,0.40,-0.55,-0.07,-0.08,-0.01,0.03,0.01,0.01,0.00,0.01,0.02
-0.93,0.40,-0.54,-0.15,0.02,-0.22,0.03,0.01,0.01,0.00,0.00,0.01
-0.90,0.42,-0.54,-0.20,0.11,-0.33,0.03,0.01,0.01,0.00,0.00,0.00
-0.87,0.41,-0.55,-0.20,0.16,-0.28,0.03,0.01,0.01,0.00,0.00,0.01
-0.88,0.34,-0.56,-0.13,0.13,-0.15,0.03,0.01,0.01,0.00,0.00,0.01
-0.93,0.27,-0.56,-0.04,0.05,-0.03,0.03,0.01,0.01,0.01,0.00,0.00
-0.93,0.19,-0.55,0.02,-0.04,0.00,0.03,0.00,0.01,0.01,0.00,0.00
-0.93,0.25,-0.58,-0.02,-0.01,-0.01,0.04,0.01,0.02,0.01,0.01,0.00
-0.91,0.33,-0.59,-0.09,0.06,-0.01,0.03,0.00,0.01,0.00,0.00,0.00
-0.80,0.30,-0.59,-0.04,0.02,0.10,0.03,0.00,0.01,0.00,0.00,0.02
-0.62,0.41,-0.74,-0.31,-0.56,1.20,0.17,0.07,0.04,0.18,0.72,1.64
-0.96,0.34,0.22,-0.53,0.67,1.56,0.81,0.73,1.78,1.24,12.40,1.71
-0.68,0.04,0.60,0.15,1.35,0.35,1.20,1.59,1.51,3.05,10.30,1.05
-0.23,0.33,-0.13,0.74,-0.10,-0.39,0.30,1.12,0.44,1.61,0.41,0.14
-0.70,0.55,-0.35,0.59,-0.46,-0.66,0.07,0.06,0.06,0.07,0.01,0.05
-0.94,0.31,-0.57,0.35,-0.32,-0.50,0.04,0.01,0.02,0.02,0.02,0.07
-0.98,0.26,-0.60,0.20,-0.15,-0.16,0.03,0.00,0.01,0.01,0.01,0.02
-0.96,0.25,-0.55,0.14,-0.07,-0.02,0.03,0.00,0.01,0.00,0.00,0.00
-0.95,0.27,-0.51,0.08,-0.08,0.03,0.03,0.00,0.01,0.00,0.00,0.00
-0.95,0.29,-0.52,-0.00,-0.06,0.03,0.03,0.01,0.01,0.00,0.00,0.00
-0.95,0.31,-0.51,-0.01,0.01,0.03,0.03,0.01,0.01,0.00,0.00,0.00
-0.93,0.32,-0.50,0.01,0.02,0.06,0.03,0.00,0.01,0.00,0.00,0.00
-0.95,0.28,-0.50,-0.02,0.01,0.04,0.03,0.00,0.01,0.00,0.00,0.00
-0.95,0.30,-0.50,-0.11,0.05,-0.01,0.03,0.00,0.01,0.00,0.00,0.00
-0.93,0.35,-0.50,-0.12,0.07,-0.02,0.03,0.01,0.01,0.00,0.00,0.00
-0.91,0.38,-0.50,-0.05,0.01,0.03,0.03,0.01,0.01,0.00,0.00,0.00
-0.87,0.41,-0.51,-0.03,-0.03,0.03,0.03,0.01,0.01,0.00,0.00,0.00
-0.89,0.41,-0.50,-0.08,0.02,0.01,0.03,0.01,0.01,0.00,0.01,0.00
-0.95,0.41,-0.50,-0.09,0.06,-0.01,0.04,0.01,0.01,0.01,0.00,0.00
-0.93,0.39,-0.49,-0.00,0.02,-0.01,0.03,0.01,0.01,0.00,0.00,0.00
-0.90,0.36,-0.48,0.03,-0.00,-0.00,0.03,0.00,0.01,0.00,0.00,0.00
-0.92,0.37,-0.49,0.01,-0.00,0.02,0.03,0.01,0.01,0.00,0.00,0.00
-0.93,0.37,-0.50,-0.01,0.01,0.01,0.03,0.00,0.01,0.00,0.00,0.00
-0.91,0.38,-0.50,-0.03,0.02,-0.01,0.03,0.01,0.01,0.00,0.00,0.00
-0.90,0.38,-0.50,-0.03,0.02,-0.02,0.03,0.01,0.01,0.00,0.00,0.00
-0.91,0.37,-0.50,-0.04,-0.01,-0.03,0.03,0.01,0.01,0.00,0.00,0.00
-0.92,0.37,-0.49,-0.06,-0.02,-0.04,0.03,0.01,0.01,0.00,0.00,0.00
-0.90,0.36,-0.48,-0.01,-0.01,0.01,0.03,0.01,0.01,0.00,0.00,0.00
-0.72,0.38,-0.62,0.04,-0.07,0.57,0.06,0.02,0.06,0.01,0.01,0.60
-0.94,-0.07,-0.34,-0.46,-0.39,1.54,0.44,1.10,1.47,1.82,2.63,2.23
-0.81,-0.83,0.19,-0.28,0.86,1.03,1.25,1.46,2.37,3.53,10.36,2.84
-0.24,-0.10,-0.03,0.41,0.97,0.07,0.74,1.60,1.31,1.78,7.55,0.39
-0.40,0.83,-0.28,0.25,-0.47,-0.42,0.08,0.08,0.11,0.32,0.05,0.42
-0.72,0.71,-0.35,0.06,-0.42,-0.83,0.04,0.03,0.03,0.01,0.01,0.04
-0.90,0.57,-0.47,0.16,-0.19,-0.50,0.04,0.03,0.01,0.02,0.03,0.08
-0.95,0.41,-0.41,0.23,-0.05,-0.24,0.03,0.02,0.01,0.01,0.00,0.00
-0.93,0.39,-0.36,0.13,-0.07,-0.10,0.03,0.01,0.01,0.01,0.00,0.01
-0.96,0.39,-0.37,0.07,-0.06,-0.01,0.04,0.01,0.01,0.00,0.00,0.00
-0.98,0.35,-0.39,0.02,0.00,-0.04,0.03,0.01,0.01,0.00,0.00,0.00
-0.96,0.38,-0.39,-0.02,0.04,-0.01,0.03,0.01,0.01,0.00,0.00,0.00
-0.97,0.37,-0.38,-0.00,0.03,0.01,0.03,0.01,0.01,0.00,0.00,0.00
-0.97,0.36,-0.40,-0.00,0.01,-0.01,0.03,0.01,0.01,0.00,0.00,0.00
-0.88,0.38,-0.41,-0.03,0.05,-0.00,0.04,0.01,0.01,0.00,0.00,0.00
-0.92,0.42,-0.43,-0.11,0.03,0.02,0.05,0.01,0.01,0.01,0.00,0.00
-0.99,0.37,-0.40,-0.08,-0.03,-0.03,0.04,0.02,0.01,0.01,0.00,0.01
-0.96,0.32,-0.36,-0.08,-0.03,-0.11,0.04,0.01,0.01,0.01,0.00,0.01
-0.99,0.35,-0.36,-0.10,-0.02,-0.13,0.04,0.01,0.01,0.01,0.00,0.00
-1.00,0.35,-0.35,-0.04,-0.01,-0.06,0.04,0.01,0.01,0.00,0.00,0.01
-0.99,0.34,-0.35,-0.01,0.00,0.02,0.04,0.01,0.01,0.00,0.00,0.00
