-0.39,0.02,-0.16,-0.01,0.03,-0.10,0.23,0.10,0.04,0.00,0.00,0.02
-0.84,0.16,-0.37,-0.07,0.03,-0.29,0.09,0.12,0.02,0.00,0.00,0.02
-0.95,0.35,-0.48,-0.11,-0.00,-0.17,0.05,0.02,0.02,0.01,0.01,0.05
-0.95,0.35,-0.51,-0.00,-0.09,0.28,0.04,0.01,0.01,0.03,0.02,0.11
-0.89,0.45,-0.47,0.55,0.02,0.70,0.03,0.05,0.01,0.31,0.08,0.11
-0.72,0.49,-0.60,0.87,0.71,0.68,0.07,0.03,0.03,0.14,0.31,0.07
-0.29,0.32,-0.81,0.59,1.15,0.40,0.09,0.01,0.04,0.06,0.09,0.02
0.06,0.25,-0.95,0.28,0.75,0.17,0.02,0.01,0.04,0.06,0.19,0.02
0.13,0.22,-1.00,0.06,0.32,-0.05,0.00,0.01,0.04,0.03,0.02,0.01
