1,1,-1,1,1,-1
655,939,-1794,-76,153,180
663,887,-1797,-51,166,198
677,891,-1776,-54,171,210
686,863,-1786,-48,178,219
680,861,-1776,-70,182,223
658,854,-1793,-117,189,223
697,833,-1808,-153,195,224
680,898,-1833,-156,196,204
749,986,-1875,-126,180,187
747,954,-1871,-109,171,166
748,940,-1863,-99,151,126
758,958,-1859,-102,128,95
748,956,-1849,-112,120,64
732,972,-1842,-119,105,35
747,1000,-1848,-127,95,2
720,977,-1817,-222,103,-112
719,977,-1802,-260,101,-154
718,972,-1789,-299,96,-201
728,1001,-1767,-328,87,-248
769,1055,-1742,-376,41,-390
743,1044,-1726,-399,31,-441
748,1046,-1685,-436,27,-494
763,1065,-1676,-476,36,-546
772,1076,-1637,-516,41,-583
765,1067,-1588,-562,52,-632
734,1063,-1561,-611,75,-687
706,1087,-1548,-660,107,-738
715,1150,-1538,-701,137,-797
726,1215,-1536,-701,178,-854
721,1267,-1508,-683,219,-902
734,1332,-1493,-638,263,-939
712,1359,-1455,-581,304,-962
708,1399,-1407,-525,342,-967
727,1422,-1377,-463,385,-967
746,1463,-1366,-404,422,-967
721,1459,-1343,-360,454,-972
560,1486,-1292,-251,622,-988
533,1486,-1281,-238,663,-965
547,1499,-1264,-246,708,-942
529,1487,-1264,-263,743,-920
481,1483,-1229,-370,814,-892
449,1523,-1241,-456,857,-875
473,1705,-1291,-534,841,-883
470,1780,-1305,-527,792,-898
441,1853,-1341,-520,745,-907
416,1873,-1350,-520,705,-919
369,1833,-1357,-542,670,-932
317,1827,-1347,-599,647,-953
260,1800,-1344,-669,631,-961
219,1826,-1327,-752,623,-961
184,1844,-1321,-825,616,-949
181,1891,-1311,-880,621,-942
165,1944,-1304,-903,625,-948
171,2021,-1366,-891,630,-987
191,2103,-1370,-838,622,-1040
190,2127,-1359,-761,603,-1075
192,2159,-1360,-677,583,-1107
125,2061,-1375,-407,495,-1226
117,2046,-1359,-343,473,-1239
96,2032,-1356,-287,442,-1244
78,2001,-1366,-235,415,-1258
64,1965,-1373,-189,390,-1260
49,1935,-1377,-143,368,-1277
59,1945,-1371,-92,335,-1291
56,1956,-1373,-27,303,-1295
19,1907,-1356,41,263,-1293
-77,1812,-1297,195,169,-1222
-83,1760,-1273,235,147,-1173
-102,1796,-1262,274,120,-1142
-92,1796,-1253,316,87,-1099
-110,1797,-1217,425,14,-1031
-113,1769,-1179,475,-38,-993
-155,1737,-1163,492,-83,-953
-192,1691,-1143,484,-125,-913
-225,1673,-1138,462,-164,-866
-232,1670,-1119,446,-204,-819
-240,1664,-1093,435,-247,-764
-273,1659,-1052,427,-288,-719
-302,1773,-1036,485,-461,-517
-299,1804,-1038,523,-506,-448
-278,1854,-1034,551,-548,-371
-282,1843,-1036,567,-578,-293
-291,1844,-1020,570,-612,-213
-297,1872,-998,549,-645,-131
-297,1906,-1007,506,-664,-39
-265,1942,-1039,450,-682,54
-248,1919,-1059,374,-691,159
-279,1804,-1098,157,-687,267
-317,1747,-1147,-1,-668,299
-353,1901,-1364,-363,-557,358
-349,1965,-1457,-440,-499,392
-373,1980,-1490,-476,-437,397
-367,1968,-1540,-496,-362,376
-358,1967,-1606,-501,-288,332
-328,1984,-1679,-489,-202,266
-314,1981,-1718,-449,-121,193
-309,1950,-1727,-397,-37,107
-310,1919,-1728,-322,46,7
-326,1870,-1748,-237,121,-89
-246,1780,-1751,137,344,-369
-180,1755,-1734,244,376,-406
-140,1701,-1700,323,387,-427
-122,1649,-1658,366,386,-445
-100,1588,-1627,389,380,-464
-109,1486,-1605,377,354,-517
-96,1480,-1591,361,320,-551
-103,1498,-1583,353,295,-579
-90,1523,-1592,353,259,-602
-100,1524,-1585,362,214,-625
-105,1507,-1565,366,173,-656
-120,1497,-1542,370,116,-688
-126,1484,-1517,359,66,-716
-108,1517,-1484,292,-104,-735
-134,1540,-1462,290,-184,-739
-133,1538,-1464,284,-261,-739
-173,1541,-1441,273,-343,-746
-207,1510,-1402,255,-417,-753
-241,1447,-1361,209,-484,-758
-292,1423,-1340,132,-548,-773
-335,1420,-1333,49,-613,-774
-489,1518,-1300,-75,-844,-767
-541,1540,-1287,-95,-908,-766
-581,1535,-1292,-113,-963,-761
-621,1594,-1286,-133,-1052,-762
-666,1579,-1289,-140,-1103,-769
-697,1561,-1275,-153,-1141,-773
-719,1507,-1287,-171,-1174,-778
-755,1486,-1276,-210,-1195,-789
-777,1453,-1302,-254,-1211,-791
-817,1419,-1307,-296,-1220,-793
-845,1387,-1336,-333,-1222,-791
-877,1393,-1342,-357,-1219,-788
-883,1382,-1361,-358,-1207,-785
-910,1359,-1375,-331,-1196,-781
-931,1314,-1378,-305,-1183,-784
-959,1275,-1403,-270,-1160,-782
-1194,1304,-1299,-122,-938,-504
-1259,1387,-1261,-103,-890,-391
-1297,1475,-1240,-90,-849,-260
-1327,1571,-1215,-75,-801,-110
-1332,1958,-1171,-37,-640,453
-1283,2092,-1141,-17,-595,547
-1245,2144,-1151,10,-546,577
-1205,2150,-1132,19,-492,563
-1189,2105,-1144,1,-433,501
-1188,2060,-1160,-40,-360,417
-1208,2063,-1167,-82,-293,312
-1217,2077,-1152,-116,-224,216
-1233,2123,-1162,-124,-153,134
-1210,2152,-1173,-89,-96,79
-1210,2181,-1185,-23,-50,32
-1116,2193,-1211,190,-26,-2
-1058,2181,-1200,351,-52,-4
-1002,2035,-1126,529,-127,34
-975,1902,-1106,573,-195,71
-964,1797,-1071,552,-253,98
-948,1732,-1056,508,-309,131
-917,1722,-1066,440,-363,159
-889,1717,-1051,399,-426,191
-875,1739,-996,430,-603,271
-879,1722,-994,477,-671,313
-912,1673,-924,608,-862,503
-913,1641,-892,619,-912,555
-927,1624,-875,600,-953,603
-934,1615,-847,575,-993,645
-945,1644,-854,536,-1032,674
-964,1675,-858,517,-1059,710
-960,1708,-861,508,-1083,734
-959,1760,-866,522,-1109,743
-963,1786,-833,555,-1132,753
-978,1831,-844,631,-1163,756
-984,1830,-822,687,-1185,751
-1004,1825,-824,719,-1194,750
-1011,1851,-809,750,-1202,753
-1007,1855,-796,777,-1221,756
-1012,1867,-802,803,-1229,757
-993,1879,-787,824,-1244,768
-1009,1858,-776,831,-1262,785
-1021,1849,-740,813,-1283,809
-1022,1830,-750,769,-1301,851
-1024,1793,-738,707,-1321,892
-1042,1762,-730,627,-1341,936
-1222,1975,-853,171,-1371,1224
-1225,2003,-869,106,-1368,1265
-1252,2003,-958,-12,-1356,1279
-1285,1975,-1001,-103,-1332,1251
-1315,1949,-1040,-186,-1302,1209
-1370,1939,-1150,-306,-1216,1097
-1396,1961,-1205,-337,-1151,1005
-1433,1940,-1241,-338,-1081,917
-1445,1916,-1289,-329,-1005,825
-1470,1907,-1332,-308,-929,728
-1458,1909,-1391,-271,-853,639
-1457,1913,-1430,-205,-779,553
-1441,1895,-1460,-135,-720,477
-1410,1842,-1510,-3,-623,346
-1376,1776,-1523,66,-564,258
-1365,1739,-1537,103,-519,191
-1344,1709,-1552,112,-479,135
-1324,1712,-1575,124,-435,93
-1288,1710,-1597,138,-396,51
-1259,1708,-1618,155,-358,0
-1229,1698,-1634,174,-316,-48
-1093,1689,-1661,328,-164,-252
-1062,1682,-1644,378,-132,-293
-1001,1664,-1628,465,-58,-364
-972,1666,-1620,491,-33,-380
-941,1674,-1588,512,-27,-387
-924,1661,-1574,545,-32,-394
-907,1660,-1553,576,-40,-393
-880,1630,-1525,598,-53,-394
-873,1610,-1498,618,-75,-389
-876,1586,-1474,624,-101,-376
-855,1560,-1443,623,-127,-356
-846,1505,-1422,599,-186,-316
-836,1451,-1384,572,-237,-285
-836,1411,-1378,539,-277,-255
-854,1360,-1350,495,-321,-224
-899,1307,-1334,432,-350,-183
-948,1225,-1292,340,-373,-142
-977,1183,-1284,235,-375,-103
-1017,1172,-1261,137,-374,-67
-1062,1194,-1284,60,-367,-33
-1084,1228,-1299,32,-359,-2
-1282,1138,-1326,37,-263,64
-1361,1072,-1330,-8,-209,69
-1405,1078,-1333,-88,-138,73
-1445,1116,-1360,-146,-75,79
-1486,1136,-1377,-200,-15,77
-1610,1295,-1406,-302,162,49
-1679,1358,-1431,-321,235,22
-1700,1405,-1468,-318,298,-23
-1735,1447,-1486,-312,362,-82
-1753,1493,-1496,-290,425,-154
-1760,1514,-1491,-269,478,-249
-1757,1531,-1486,-251,538,-360
-1726,1532,-1491,-221,624,-581
-1706,1516,-1460,-219,662,-733
-1690,1499,-1432,-226,698,-865
-1663,1502,-1398,-252,727,-982
-1663,1517,-1372,-280,749,-1081
-1675,1535,-1350,-312,761,-1146
-1694,1580,-1313,-348,767,-1202
-1687,1635,-1280,-383,769,-1238
-1694,1739,-1274,-396,768,-1252
-1681,1835,-1197,-342,692,-1379
-1671,1852,-1164,-347,673,-1445
-1683,1833,-1147,-362,651,-1532
-1730,1812,-1112,-382,632,-1640
-1738,1811,-1074,-419,621,-1756
-1758,1799,-1051,-461,614,-1870
-1789,1798,-1014,-507,610,-1967
-1888,1848,-939,-569,594,-2142
-1921,1869,-885,-574,581,-2151
-1929,1862,-839,-580,553,-2157
-1955,1829,-792,-595,526,-2151
-1954,1775,-754,-632,497,-2144
-1921,1729,-747,-674,469,-2135
-1832,1632,-739,-758,442,-2147
-1799,1561,-753,-787,429,-2174
-1820,1509,-744,-804,420,-2188
-1816,1487,-733,-820,416,-2189
-1817,1474,-711,-822,419,-2173
-1839,1395,-710,-821,416,-2147
-1866,1353,-715,-817,410,-2105
-1865,1334,-695,-807,408,-2067
-1932,1223,-653,-748,366,-1819
-1912,1157,-649,-766,363,-1743
-1872,1089,-667,-770,365,-1654
-1869,1045,-719,-759,373,-1617
-1896,1041,-745,-734,367,-1580
-1924,970,-698,-701,368,-1551
-1947,919,-689,-654,356,-1505
-1953,855,-715,-627,349,-1453
-1973,792,-712,-612,342,-1396
-2037,656,-822,-598,353,-1230
-2074,680,-843,-565,361,-1176
-2105,642,-857,-535,371,-1122
-2140,610,-842,-510,375,-1075
-2153,597,-823,-495,382,-1040
-2140,573,-831,-479,383,-1009
-2103,548,-834,-460,376,-979
-2080,565,-869,-430,366,-948
-2032,578,-931,-354,344,-873
-2053,598,-964,-295,330,-800
-2101,563,-1030,-253,311,-707
-2098,600,-1108,-215,300,-673
-2151,743,-1103,-105,125,-419
-2159,690,-1149,-152,69,-293
-2194,603,-1199,-230,32,-205
-2211,520,-1297,-341,27,-159
-2226,512,-1401,-436,38,-145
-2243,623,-1451,-487,58,-141
-2268,790,-1484,-463,86,-126
-2268,917,-1503,-367,117,-103
