1	565	289	-2056	188	80	145
2	623	474	-2164	151	59	164
3	611	463	-2163	139	54	167
4	613	494	-2152	116	50	163
5	599	489	-2149	100	49	168
6	609	517	-2136	79	54	170
7	608	533	-2148	69	54	159
8	614	581	-2125	125	22	128
9	629	567	-2119	130	6	105
10	630	544	-2109	110	-16	75
11	628	524	-2088	69	-36	46
12	636	515	-2081	17	-51	3
13	634	528	-2056	-50	-74	-42
14	628	503	-2035	-114	-94	-82
15	623	488	-2002	-210	-113	-126
16	650	422	-1972	-365	-127	-162
17	675	387	-1946	-571	-141	-189
18	707	430	-1903	-787	-151	-200
19	755	519	-1884	-978	-169	-206
20	976	850	-1867	-1184	-349	-226
21	983	863	-1856	-1170	-414	-247
22	961	860	-1810	-1199	-503	-310
23	952	886	-1796	-1246	-535	-351
24	946	907	-1784	-1296	-556	-396
25	936	914	-1773	-1351	-553	-439
26	923	930	-1754	-1401	-553	-487
27	917	971	-1748	-1446	-558	-521
28	903	1004	-1750	-1465	-558	-556
29	892	1039	-1740	-1467	-553	-593
30	864	1073	-1719	-1444	-554	-623
31	859	1131	-1732	-1413	-561	-647
32	830	1185	-1713	-1293	-586	-672
33	839	1239	-1689	-1252	-602	-668
34	811	1252	-1647	-1219	-619	-649
35	789	1254	-1594	-1207	-636	-629
36	758	1285	-1565	-1223	-650	-599
37	704	1315	-1521	-1285	-656	-524
38	670	1332	-1487	-1328	-662	-469
39	633	1373	-1452	-1368	-672	-431
40	492	1510	-1370	-1382	-792	-302
41	426	1517	-1326	-1371	-849	-287
42	390	1546	-1311	-1370	-904	-270
43	337	1574	-1291	-1358	-959	-243
44	289	1596	-1282	-1349	-1010	-216
45	239	1582	-1263	-1317	-1053	-186
46	193	1575	-1236	-1294	-1108	-167
47	168	1594	-1209	-1261	-1165	-164
48	134	1624	-1212	-1198	-1227	-159
49	97	1665	-1206	-1126	-1299	-165
50	52	1688	-1214	-982	-1423	-183
51	24	1707	-1213	-878	-1506	-212
52	0	1748	-1206	-793	-1576	-238
53	-26	1782	-1199	-636	-1680	-276
54	-36	1806	-1190	-552	-1741	-299
55	20	1903	-1171	-338	-1891	-353
56	40	1951	-1196	-277	-1947	-372
57	38	1977	-1219	-233	-1992	-383
58	19	1977	-1228	-208	-2027	-390
59	-59	1992	-1261	-223	-2049	-395
60	-342	2208	-1546	-543	-1986	-226
61	-441	2274	-1647	-668	-1938	-177
62	-558	2292	-1750	-771	-1900	-157
63	-690	2277	-1803	-849	-1860	-165
64	-828	2225	-1841	-915	-1806	-182
65	-965	2202	-1877	-977	-1734	-217
66	-1094	2196	-1908	-1035	-1647	-224
67	-1201	2206	-1937	-1077	-1537	-206
68	-1306	2247	-1954	-1108	-1418	-166
69	-1383	2318	-1952	-1116	-1282	-94
70	-1414	2355	-1944	-1092	-1129	-9
71	-1424	2364	-1961	-1037	-982	63
72	-1425	2318	-1925	-963	-832	107
73	-1420	2212	-1910	-887	-686	113
74	-1414	2078	-1860	-823	-546	76
75	-1420	1985	-1802	-768	-414	31
76	-1407	1870	-1736	-713	-292	-15
77	-1406	1742	-1697	-650	-182	-53
78	-1387	1638	-1683	-586	-84	-77
79	-1357	1374	-1560	-306	101	-169
80	-1144	1075	-1388	102	168	-477
81	-1081	989	-1350	209	165	-606
82	-1047	936	-1310	309	159	-739
83	-1004	906	-1285	408	154	-870
84	-986	887	-1249	524	126	-1014
85	-951	889	-1199	731	65	-1276
86	-933	1004	-1171	854	14	-1436
87	-928	1152	-1138	944	-55	-1546
88	-876	1292	-1114	1026	-120	-1615
89	-895	1406	-1035	1052	-177	-1651
90	-891	1478	-997	970	-225	-1628
91	-911	1558	-978	767	-254	-1542
92	-929	1693	-1004	481	-261	-1413
93	-878	1704	-1060	177	-260	-1251
94	-891	1697	-1127	-116	-251	-1134
95	-893	1682	-1234	-373	-243	-1079
96	-908	1683	-1329	-570	-240	-1089
97	-945	1739	-1392	-717	-255	-1139
98	-951	1779	-1416	-832	-267	-1186
99	-974	1827	-1459	-904	-271	-1229
100	-1141	1665	-1476	-905	-254	-1477
101	-1092	1624	-1459	-836	-155	-1716
102	-1045	1618	-1431	-735	-135	-1799
103	-1038	1612	-1403	-598	-138	-1890
104	-1030	1555	-1350	-444	-144	-1961
105	-1038	1506	-1327	-291	-160	-2011
106	-1058	1262	-1220	-79	-192	-2043
107	-1127	1167	-1120	-29	-219	-2024
108	-1172	1147	-1042	-23	-244	-1975
109	-1221	1114	-1006	-43	-262	-1895
110	-1351	1114	-944	-84	-296	-1784
111	-1490	1127	-890	-144	-330	-1654
112	-1608	1189	-829	-212	-370	-1503
113	-1715	1238	-781	-271	-411	-1336
114	-1783	1274	-797	-333	-443	-1176
115	-1957	1098	-802	-451	-471	-976
116	-2163	1000	-756	-566	-493	-909
117	-2715	1056	-569	-783	-609	-720
118	-2999	1170	-579	-929	-663	-517
119	-3151	1202	-646	-999	-698	-348
120	-3571	800	-1404	-371	-166	-742
121	-3546	739	-1472	-197	32	-888
122	-3492	637	-1525	-53	175	-1025
123	-3369	604	-1448	97	302	-1179
124	-3188	561	-1353	239	422	-1325
125	-2723	273	-971	410	628	-1646
126	-2575	150	-783	354	678	-1768
127	-2414	122	-712	283	720	-1849
128	-2237	161	-673	238	738	-1905
129	-2070	178	-598	219	756	-1938
130	-1927	100	-561	205	767	-1948
131	-1820	50	-511	170	769	-1935
132	-1721	81	-430	146	765	-1911
133	-1546	117	-438	155	722	-1799
134	-1443	97	-437	168	684	-1716
135	-1397	46	-482	170	642	-1627
136	-1352	64	-518	161	586	-1538
137	-1330	115	-551	171	516	-1414
138	-1282	139	-568	191	432	-1268
139	-1304	164	-604	199	322	-1070
140	-1732	70	-1188	-234	-248	-239
141	-1908	353	-1248	-405	-391	-46
142	-2051	691	-1292	-473	-482	108
143	-2162	989	-1343	-439	-526	228
144	-2304	1158	-1363	-359	-542	308
145	-2471	1246	-1375	-279	-521	343
146	-2529	1328	-1413	-202	-462	337
147	-2555	1388	-1459	-114	-355	301
148	-2447	1341	-1601	256	-46	174
149	-2355	1190	-1592	412	33	173
150	-2221	887	-1517	564	62	233
151	-2164	786	-1424	635	45	292
152	-2069	777	-1330	717	36	343
153	-2004	786	-1216	835	24	385
154	-1958	763	-1098	952	25	424
155	-1944	671	-950	1053	24	448
156	-2004	576	-811	1110	29	445
157	-2027	438	-704	1090	36	434
158	-2071	268	-628	994	32	417
159	-2100	103	-600	839	38	381
160	-2379	-113	-723	431	167	236
161	-2569	-227	-739	418	213	209
162	-2782	-377	-752	393	265	174
163	-2929	-525	-811	360	330	132
164	-3060	-660	-894	309	405	79
165	-3214	-719	-965	256	496	23
166	-3392	-717	-1010	235	615	-30
167	-3582	-779	-1006	244	736	-74
168	-3865	-853	-967	267	958	-110
169	-4028	-1048	-936	310	1115	-110
170	-4158	-1306	-874	326	1289	-113
171	-4699	-2526	-333	-3	1809	-126
172	-5239	-3189	52	-356	2101	-137
173	-6123	-3519	280	-715	2389	-177
174	-6930	-3752	593	-924	2728	-156
175	-7611	-3893	774	-935	3090	5
176	-8252	-4058	807	-568	3499	398
177	-8837	-3744	777	178	3895	1132
178	-8884	-2074	252	1700	4294	2488
179	-7609	-728	-217	4148	4543	4491
180	-923	-1743	1948	14200	8654	12609
181	8527	-4319	-1849	12071	10827	14196
182	19859	-5926	-1258	7351	11060	15089
183	28442	-7407	-963	2348	9344	13928
184	5835	3713	-2437	-2618	477	5688
185	1816	-1519	-291	81	-1689	-3212
186	-183	-2466	1205	-2119	-921	-6223
187	2549	511	-3428	-4711	-1215	-6228
188	3681	596	-4148	-4474	-1267	-4962
189	-133	723	-2985	-2755	-427	-2391
190	-730	934	-3297	-542	279	88
191	-330	601	-2693	1433	467	1977
192	-387	-781	-1453	2388	759	2815
193	-249	-2178	-1185	2139	1083	2688
194	435	-2384	-1833	1072	1249	1837
195	1403	-459	-2844	-1319	22	-1491
196	1486	-32	-3085	-1424	-431	-2065
197	1503	-194	-3011	-1427	-843	-2393
198	1381	-515	-2707	-1588	-1179	-2602
199	1466	-840	-1968	-3740	-1748	-3314
200	1542	-510	-1923	-4341	-1828	-3514
201	1182	76	-2063	-5184	-1803	-3710
202	1029	337	-2026	-5573	-1769	-3910
203	917	621	-1847	-5806	-1720	-4083
204	805	927	-1598	-5993	-1662	-4213
205	649	1223	-1381	-6160	-1607	-4288
206	473	1546	-1202	-6282	-1570	-4278
207	130	1860	-1088	-6282	-1570	-4188
208	-206	1785	-1020	-6249	-1556	-4044
209	-716	1798	-942	-6180	-1516	-3919
210	-1095	1845	-923	-6022	-1442	-3873
211	-1366	1937	-924	-5739	-1394	-3834
212	-1469	1978	-853	-5367	-1338	-3805
213	-1628	2071	-708	-4922	-1289	-3741
214	-2219	1966	-439	-4075	-1139	-3504
215	-2499	1769	-348	-3566	-1030	-3267
216	-2786	1664	-505	-3071	-855	-3019
217	-2838	1793	-814	-2471	-724	-2803
218	-2949	1482	-829	-151	-616	-2337
219	-3264	155	-920	1876	-649	-2030
220	-3419	-293	-883	1956	-659	-1910
221	-3410	-590	-749	1875	-651	-1729
222	-3532	-679	-718	1752	-572	-1515
223	-3457	-668	-829	1676	-460	-1272
224	-3305	-568	-1020	1694	-355	-1037
225	-3097	-536	-1183	1800	-267	-767
226	-2902	-338	-1085	2068	-120	-333
227	-2885	-246	-859	2201	-5	-77
228	-2837	-233	-690	2246	86	108
229	-2773	-300	-575	2173	172	249
230	-2525	-520	-694	1708	179	396
231	-2299	-599	-902	1190	39	429
232	-2202	-481	-1118	734	-193	449
233	-2245	-216	-1326	418	-466	436
234	-2490	108	-1221	335	-658	414
235	-2607	383	-960	486	-712	415
236	-2712	519	-773	777	-695	423
237	-2770	403	-683	1016	-634	416
238	-2865	-61	-525	1001	-487	338
239	-2689	-88	-766	115	-229	55
240	-2655	60	-860	62	-174	-8
241	-2596	-6	-940	162	-44	-94
242	-2571	-50	-895	142	8	-118
243	-2558	-106	-846	103	66	-126
244	-2614	-171	-772	29	118	-131
245	-2640	-193	-708	-83	188	-141
246	-2585	-225	-756	-191	267	-151
247	-2519	-300	-891	-365	399	-211
248	-2536	-363	-847	-442	501	-240
249	-2642	-597	-747	-525	604	-246
250	-2855	-869	-666	-641	701	-251
251	-3031	-1198	-628	-794	822	-236
252	-3147	-1404	-727	-964	981	-184
253	-3098	-1437	-954	-1046	1153	-77
254	-3348	-1847	-969	-1058	1346	77
255	-3649	-2160	-936	-1060	1543	222
256	-3865	-2526	-878	-1038	1710	385
257	-4722	-3178	-698	-1027	2042	751
258	-5291	-3426	-647	-905	2338	1076
259	-7431	-1631	-1022	2216	3324	2818
260	-7031	-447	-1024	4646	3390	3903
261	-6921	273	-609	7132	3394	5039
262	-6245	712	201	9770	3497	6398
263	-5412	-187	2516	13594	4759	9119
264	5248	-6646	-1201	9307	10343	12378
265	17508	-7072	-1989	2122	11094	13344
266	24063	-5050	-1532	-3002	9531	13095
267	20774	85	-1729	-4185	5122	10986
268	7285	6562	-4337	-2990	975	6095
269	-771	7431	-1936	1423	-828	-810
270	898	-243	794	2739	-822	-4435
271	2876	-727	-2140	740	-1080	-4420
272	3905	-3311	-3169	-1306	-1370	-3749
273	56	-1278	-2199	-2338	452	-119
274	-344	753	-3075	-749	788	1938
275	38	742	-2515	805	893	2650
276	107	311	-2231	1895	815	2398
277	573	-315	-2334	2097	634	1500
278	804	-883	-2353	1567	270	253
279	999	-442	-2701	-1552	-563	-1312
280	661	-437	-2622	-1265	-617	-936
281	827	-631	-2381	-1122	-723	-825
282	904	-845	-2234	-1279	-884	-854
283	1044	-1210	-1974	-1702	-1088	-1065
284	1146	-1500	-1761	-2371	-1283	-1417
285	1227	-1266	-1713	-3210	-1486	-1847
286	1476	-821	-1685	-4026	-1700	-2296
287	1691	441	-1548	-5669	-2147	-3718
288	1805	1044	-1589	-5832	-2229	-4155
289	1725	1372	-1536	-5858	-2269	-4539
290	1584	1599	-1474	-5878	-2239	-4852
291	1292	1842	-1422	-5940	-2162	-5064
292	778	2052	-1333	-6030	-2017	-5180
293	391	2156	-1135	-6129	-1796	-5216
294	-193	2344	-807	-6044	-1408	-5232
295	-552	2381	-604	-5824	-1227	-5161
296	-799	2481	-555	-5539	-1089	-5040
297	-1082	2582	-492	-5105	-999	-4863
298	-1401	2373	-411	-4650	-920	-4647
299	-2324	1855	-682	-2114	-733	-3708
300	-2638	1574	-686	-1251	-748	-3459
301	-2704	1277	-709	-516	-729	-3257
302	-2669	1080	-762	173	-730	-3016
303	-2891	767	-659	842	-795	-2791
304	-3121	443	-434	1357	-840	-2583
305	-3526	22	-264	1743	-817	-2326
306	-3848	-376	-140	1967	-764	-2074
307	-3973	-604	-249	2030	-601	-1833
308	-3807	-607	-745	2247	-305	-1426
309	-3761	-754	-780	2530	-140	-1185
310	-3762	-1175	-478	3014	327	-447
311	-3616	-1378	-402	2971	460	-170
312	-3386	-1476	-478	2840	608	84
313	-3042	-1490	-658	2630	704	289
314	-2540	-1690	-850	2310	689	428
315	-1900	-2013	-1675	1077	54	538
316	-2403	-848	-1738	350	-449	444
317	-2554	-208	-989	261	-593	404
318	-2760	188	-438	502	-541	339
319	-2708	-402	-389	711	0	-17
320	-2552	-500	-564	293	64	-135
321	-2431	-361	-776	-34	78	-217
322	-2420	-200	-911	-183	69	-263
323	-2456	-68	-925	-180	71	-286
324	-2517	-99	-872	-110	80	-280
325	-2556	-197	-836	-55	89	-265
326	-2559	-307	-842	-72	96	-243
327	-2560	-458	-806	-265	89	-209
328	-2663	-455	-689	-439	102	-207
