1195,583,-1536,54,-63,-52
1328,741,-1386,-120,-181,-590
1338,734,-1347,-126,-198,-665
1364,733,-1302,-154,-211,-736
1368,729,-1265,-197,-221,-801
1378,710,-1240,-265,-230,-870
1396,722,-1221,-349,-237,-943
1420,734,-1185,-455,-248,-1015
1433,740,-1158,-575,-248,-1087
1435,764,-1156,-701,-245,-1168
1447,836,-1163,-828,-254,-1247
1428,882,-1155,-945,-258,-1329
1427,973,-1172,-1048,-264,-1426
1447,1066,-1180,-1132,-287,-1510
1462,1136,-1171,-1196,-318,-1596
1483,1183,-1150,-1255,-358,-1683
1483,1249,-1139,-1311,-403,-1780
1468,1366,-1113,-1436,-496,-1930
1422,1412,-1106,-1531,-568,-2009
1382,1451,-1062,-1624,-622,-2074
1227,1603,-998,-1932,-724,-2244
1202,1717,-989,-2018,-778,-2324
1125,1854,-962,-2035,-852,-2391
1053,1942,-921,-2008,-924,-2459
963,1972,-919,-1967,-992,-2510
860,1975,-917,-1937,-1068,-2560
756,1975,-886,-1922,-1136,-2598
576,1939,-879,-1913,-1193,-2609
292,1955,-808,-1963,-1298,-2653
194,2040,-827,-1950,-1316,-2667
106,2074,-832,-1904,-1338,-2677
-1,2126,-820,-1805,-1357,-2702
-103,2232,-796,-1497,-1386,-2769
-150,2304,-833,-1201,-1416,-2815
-219,2312,-810,-930,-1454,-2856
-277,2213,-789,-668,-1490,-2890
-321,2215,-785,-427,-1521,-2941
-349,2146,-780,-184,-1558,-2967
-399,2110,-750,37,-1595,-2998
-397,2069,-735,239,-1619,-3022
-466,1960,-689,421,-1660,-3044
-520,1894,-693,555,-1686,-3061
-636,1696,-619,688,-1733,-3010
-751,1700,-568,694,-1752,-2947
-931,1792,-592,741,-1818,-2633
-1033,1731,-588,775,-1869,-2477
-1113,1675,-565,768,-1912,-2304
-1175,1705,-546,748,-1934,-2126
-1333,1545,-711,712,-1965,-1794
-1482,1419,-803,674,-1951,-1630
-1599,1289,-885,622,-1913,-1512
-1764,1203,-908,534,-1872,-1391
-1927,1191,-929,406,-1798,-1260
-2015,1264,-1011,298,-1690,-1115
-2074,1295,-1101,236,-1545,-969
-2167,1288,-1333,262,-1190,-749
-2216,1331,-1402,455,-858,-649
