1,1,-1,1,1,-1
910,402,-1929,-2,-111,13
1,1,-1,1,1,-1
934,382,-1894,-94,-121,-30
1053,350,-1837,-293,-163,-93
1110,327,-1806,-402,-195,-133
1162,312,-1763,-519,-234,-186
1192,305,-1730,-632,-273,-239
1228,287,-1717,-752,-309,-309
1214,305,-1675,-881,-342,-380
1199,320,-1673,-1016,-358,-454
1239,388,-1683,-1139,-378,-530
1301,440,-1677,-1237,-405,-596
1319,501,-1642,-1311,-436,-664
1353,549,-1634,-1357,-477,-729
1404,646,-1624,-1388,-551,-790
1450,672,-1570,-1390,-629,-844
1453,690,-1531,-1398,-720,-903
1314,755,-1362,-1679,-1078,-1153
1254,800,-1346,-1835,-1110,-1216
1232,871,-1348,-1952,-1132,-1272
1212,1008,-1347,-2034,-1161,-1319
1174,1115,-1323,-2073,-1201,-1356
1126,1215,-1304,-2086,-1243,-1386
1057,1295,-1288,-2071,-1287,-1405
964,1356,-1296,-2040,-1326,-1415
883,1408,-1256,-2007,-1371,-1410
802,1431,-1254,-1978,-1407,-1394
285,1654,-1236,-1703,-1544,-1191
171,1664,-1226,-1624,-1585,-1165
72,1664,-1236,-1576,-1602,-1137
-22,1694,-1237,-1535,-1616,-1105
-89,1737,-1230,-1490,-1630,-1058
-258,1750,-1254,-1407,-1653,-949
-302,1801,-1278,-1329,-1670,-890
-380,1793,-1295,-1238,-1686,-852
-418,1811,-1314,-1150,-1708,-839
-789,1789,-1305,-975,-1766,-775
-854,1867,-1320,-979,-1753,-695
-885,1956,-1323,-972,-1749,-597
-908,2008,-1333,-937,-1728,-476
-949,2048,-1332,-909,-1719,-366
-1006,2087,-1355,-898,-1696,-251
-1073,2124,-1375,-902,-1670,-139
-1145,2146,-1438,-913,-1621,-35
-1207,2188,-1502,-925,-1545,55
-1257,2169,-1566,-921,-1462,121
-1362,2183,-1618,-916,-1360,163
-1483,2189,-1727,-922,-1144,222
-1520,2212,-1815,-897,-992,216
-1507,2206,-1887,-821,-867,170
-1388,2132,-1901,-432,-588,-137
-1338,2046,-1864,-245,-530,-293
-1283,2024,-1820,-81,-505,-408
-1221,1968,-1785,103,-516,-502
-1223,1926,-1737,268,-548,-576
-1163,1656,-1587,652,-737,-713
-1134,1658,-1566,683,-785,-740
-1129,1666,-1523,717,-840,-764
-1109,1634,-1477,737,-893,-792
-1136,1568,-1434,745,-936,-833
-1166,1509,-1402,721,-982,-880
-1196,1453,-1355,663,-1011,-921
-1251,1402,-1323,581,-1034,-959
-1314,1382,-1295,441,-1042,-1022
-1356,1390,-1250,369,-1032,-1060
-1382,1389,-1235,335,-1013,-1091
-1409,1391,-1205,310,-995,-1136
-1466,1347,-1181,276,-968,-1192
-1493,1330,-1165,242,-933,-1239
-1550,1367,-1186,223,-890,-1287
-1561,1421,-1182,220,-840,-1332
-1554,1504,-1194,263,-789,-1376
-1547,1558,-1180,338,-755,-1430
-1570,1514,-1183,558,-643,-1665
-1601,1232,-1082,354,-446,-2008
-1636,1217,-1094,197,-404,-2092
-1673,1269,-1077,50,-355,-2189
-1678,1345,-1102,-39,-311,-2289
-1695,1422,-1110,-62,-288,-2397
-1701,1410,-1132,41,-244,-2607
-1711,1315,-1104,142,-221,-2734
-1712,1226,-1103,217,-192,-2837
-1653,1114,-1099,273,-158,-2901
-1628,1011,-1064,312,-131,-2926
-1599,880,-990,329,-100,-2905
-1617,766,-981,312,-81,-2853
-1665,667,-934,262,-65,-2749
-1700,632,-874,196,-53,-2609
-1744,601,-834,135,-41,-2439
-1813,507,-796,67,-38,-2247
-1911,456,-762,-22,-43,-2063
-2081,351,-781,-209,-66,-1723
-2166,348,-812,-296,-79,-1498
-2614,166,-957,-239,-127,-940
-2762,72,-978,-238,-113,-876
-2873,40,-1013,-224,-63,-774
-2897,-5,-1059,-24,-85,-604
-2870,-115,-1034,-3,-108,-542
-2838,-240,-1037,-64,-114,-513
-2803,-302,-1015,-179,-111,-516
-2789,-296,-1049,-289,-82,-555
-2738,-238,-1067,-362,-45,-610
-2684,-133,-1094,-364,10,-680
-2611,-56,-1110,-303,64,-759
-2535,-9,-1080,-175,118,-828
-2511,-12,-1000,-60,160,-891
-2503,-72,-894,14,204,-945
-2482,-99,-785,36,237,-989
-2441,-126,-735,20,271,-1025
-2409,-138,-675,-24,298,-1049
-2362,-95,-668,-58,320,-1072
-2304,-58,-652,-79,344,-1097
-2107,-106,-673,-118,350,-1116
-2082,-96,-718,-131,347,-1102
-2062,-82,-772,-123,337,-1080
-2018,-57,-793,-89,318,-1054
-1978,-83,-841,-56,299,-1020
-1939,-158,-856,-50,269,-972
-1927,-242,-879,-91,237,-919
-2056,-331,-938,-346,173,-721
-2105,-245,-1085,-422,171,-640
-2167,-151,-1201,-413,175,-591
-2280,-74,-1219,-346,183,-547
-2296,4,-1208,-269,197,-486
-2308,126,-1181,-186,217,-395
-2303,115,-1216,-153,222,-284
-2314,82,-1281,-196,226,-168
-2331,81,-1347,-285,227,-51
-2323,144,-1470,-379,232,57
-2242,325,-1673,-471,217,207
-2215,660,-2082,-248,-17,388
-2214,790,-1993,-88,-71,414
-2206,825,-1935,92,-95,432
-2157,817,-1843,263,-104,447
-2091,791,-1764,398,-103,456
-2046,703,-1669,495,-84,453
-1988,626,-1595,543,-52,455
-1972,520,-1519,557,-6,451
