1	-2093	1241	-743	-994	-588	-1373
2	-2083	1257	-625	-904	-324	-1421
3	-2110	1247	-577	-775	-174	-1440
4	-2130	1247	-563	-678	-85	-1429
5	-2127	1198	-534	-586	4	-1422
6	-2134	1146	-488	-505	81	-1418
7	-2131	1060	-408	-450	164	-1400
8	-2107	1003	-447	-425	245	-1372
9	-2118	935	-420	-441	325	-1330
10	-2043	962	-507	-401	405	-1301
11	-1948	947	-567	-367	459	-1248
12	-1950	957	-563	-308	511	-1195
13	-1940	938	-551	-237	549	-1127
14	-1911	865	-567	-183	579	-1043
15	-1905	804	-626	-146	610	-958
16	-1831	765	-677	-119	628	-865
17	-1781	714	-719	-90	621	-781
18	-1900	587	-836	-238	508	-333
19	-2049	650	-836	-234	425	-87
20	-2099	669	-853	-168	391	-20
21	-2226	638	-854	-114	358	16
22	-2292	654	-856	-58	337	37
23	-2306	715	-826	39	310	49
24	-2338	733	-814	148	282	58
25	-2356	707	-821	231	246	61
26	-2441	625	-779	273	191	60
27	-2499	512	-721	253	144	56
28	-2577	467	-680	176	107	41
29	-2565	440	-684	83	80	30
30	-2583	462	-728	10	75	7
31	-2575	535	-746	-32	69	-14
32	-2550	653	-754	0	75	-24
33	-2585	680	-723	71	70	-30
34	-2618	614	-668	142	65	-32
35	-2602	551	-608	173	67	-33
36	-2409	434	-723	57	129	5
37	-2376	473	-722	61	135	38
38	-2391	458	-673	71	112	73
39	-2444	412	-610	56	100	104
40	-2453	400	-566	27	90	113
41	-2442	413	-567	20	97	123
42	-2318	573	-600	162	127	120
43	-2301	558	-563	252	134	100
44	-2313	526	-524	301	123	79
45	-2324	450	-504	310	93	64
46	-2340	381	-503	287	56	55
47	-2345	319	-514	245	21	55
48	-2321	312	-520	205	-8	53
49	-2250	363	-582	192	-29	52
50	-2239	405	-634	231	-52	43
51	-2235	372	-635	275	-65	25
52	-2233	368	-630	321	-77	20
53	-2304	316	-587	328	-97	29
54	-2395	200	-602	293	-77	34
55	-2363	214	-647	325	-60	25
56	-2396	169	-583	328	-36	24
57	-2405	171	-553	284	-25	40
58	-2386	200	-536	250	-4	47
59	-2361	229	-571	219	7	54
60	-2338	280	-617	198	16	48
61	-2293	368	-653	202	15	48
62	-2317	412	-653	226	-1	50
63	-2315	439	-649	249	-11	45
64	-2347	438	-651	263	-23	43
65	-2417	389	-637	240	-59	26
66	-2474	486	-787	52	-203	23
67	-2484	570	-911	10	-246	28
68	-2506	640	-1006	-7	-255	13
69	-2543	691	-1022	4	-224	1
70	-2528	771	-1058	25	-183	-21
71	-2331	922	-1174	103	-80	44
72	-2240	960	-1153	101	-92	146
73	-2193	970	-1133	105	-102	214
74	-2212	946	-1136	86	-111	264
75	-2263	989	-1166	36	-103	326
76	-2254	1045	-1166	45	-83	344
77	-2237	1112	-1158	92	-56	348
78	-2181	1154	-1194	172	-27	340
79	-2119	1161	-1208	243	0	317
80	-2111	1119	-1171	306	19	285
81	-2066	1100	-1128	344	37	246
82	-2034	1076	-1098	377	46	202
83	-2029	1030	-1041	386	58	149
84	-2000	942	-1015	375	62	105
85	-1994	838	-1001	316	59	69
86	-1978	779	-951	220	60	50
87	-1931	769	-955	115	63	41
88	-1907	755	-954	11	60	44
89	-1815	1009	-1049	-113	145	109
90	-1789	1021	-1082	-83	164	90
91	-1809	999	-1120	-84	179	60
92	-1819	970	-1163	-100	187	27
93	-1810	952	-1192	-132	188	-48
94	-1785	955	-1198	-126	172	-87
95	-1788	965	-1197	-109	150	-98
96	-1784	963	-1161	-77	125	-102
97	-1831	939	-1136	-45	91	-101
98	-1880	920	-1097	-33	32	-80
