-1.52,1.31,-4.25,-0.12,-0.15,0.06,3.06,7.38,23.12,0.02,0.03,0.00
-3.75,2.77,-8.71,-0.41,-0.46,0.04,1.27,6.60,5.19,0.09,0.04,0.01
-5.36,3.71,-7.37,-0.85,-0.59,-0.27,2.65,2.40,4.55,0.18,0.02,0.07
-7.35,4.52,-4.20,-0.83,-0.36,-0.56,3.01,1.51,4.80,0.16,0.06,0.02
-8.72,3.59,-2.02,-0.31,-0.04,-0.43,3.20,1.79,0.62,0.10,0.02,0.04
-8.65,2.01,-2.15,0.14,0.10,-0.16,3.39,1.07,0.72,0.06,0.02,0.02
-8.64,2.19,-3.75,0.25,0.00,0.03,3.50,1.63,1.68,0.02,0.03,0.02
-8.30,2.95,-4.45,0.03,0.02,0.10,3.66,0.62,0.87,0.03,0.03,0.00
-7.99,3.59,-4.18,-0.13,0.13,0.07,2.85,1.48,0.63,0.02,0.00,0.00
-8.24,4.07,-4.10,-0.04,0.05,0.07,2.72,1.14,0.64,0.02,0.00,0.00
-7.69,3.50,-3.95,0.06,-0.04,0.13,2.11,0.72,0.60,0.00,0.00,0.01
-6.13,3.03,-4.16,-0.01,-0.16,0.48,6.11,1.26,0.72,0.02,0.01,0.15
-2.07,-1.23,0.59,-1.37,-0.94,1.95,24.52,28.37,64.22,3.65,0.76,2.56
-7.42,-3.95,10.24,-1.69,1.27,1.96,84.90,97.89,74.57,6.37,11.95,7.94
-13.09,0.40,10.66,-0.04,1.56,0.62,49.45,159.78,82.37,4.44,11.11,6.35
-8.50,3.60,7.59,1.23,-0.45,-0.27,44.36,67.86,51.82,0.89,1.41,1.41
-6.06,2.71,5.85,1.75,0.23,-0.77,2.65,3.52,10.89,0.14,0.02,0.09
-6.04,0.82,0.40,1.26,0.34,-0.27,2.10,1.43,10.90,0.46,0.04,0.10
-8.14,1.89,-2.60,0.37,0.16,0.04,7.32,4.74,2.75,0.43,0.08,0.02
-8.59,4.11,-2.71,-0.11,0.03,-0.01,5.51,0.90,0.75,0.01,0.01,0.02
-7.24,4.79,-2.75,-0.07,0.05,-0.00,2.04,1.04,0.44,0.00,0.01,0.01
-6.83,5.71,-3.17,0.12,-0.04,0.20,2.82,1.49,0.38,0.04,0.00,0.03
-3.49,4.18,-3.16,0.20,-0.53,1.01,10.24,8.20,2.31,0.12,0.37,0.77
-6.48,-0.81,5.70,-1.11,-0.15,2.75,51.27,74.65,85.66,4.48,6.24,1.50
-12.22,-5.13,8.92,-1.05,1.88,1.61,58.25,105.05,106.32,6.99,11.23,7.00
-10.23,1.84,7.55,0.58,0.83,-0.43,65.87,115.65,92.61,2.78,9.82,2.42
-7.38,6.71,8.59,1.39,-0.60,-0.50,22.47,18.51,18.58,0.54,1.03,0.41
-6.10,2.02,2.77,1.70,0.21,-0.48,1.62,2.55,10.77,0.22,0.01,0.10
-7.39,1.72,-2.02,0.87,0.05,-0.01,5.86,2.78,7.13,0.52,0.04,0.07
-8.58,3.00,-3.81,0.08,-0.05,0.06,4.10,2.17,1.99,0.04,0.02,0.03
